Name,Coordinates,Population
Asbury Park,"40.22039, -74.01208",15818
Ewing,"40.26983, -74.79988",36559
Whitewater,"42.83362, -88.73233",14692
West Park,"25.98454, -80.19894",15097
McPherson,"38.37084, -97.66421",13144
Tanah Merah,"5.8, 102.15",29116
San Juan,"-15.36528, -75.16222",12795
Huaral,"-11.495, -77.20778",62174
Nisporeni,"47.08159, 28.17138",11718
San Pedro Tlaltizapan,"19.19973, -99.49956",11472
Ibirama,"-27.05694, -49.51778",18357
Alta Gracia,"-31.64978, -64.42972",40384
Byford,"-32.22099, 116.009",18878
Woodridge,"-27.63333, 153.1",12579
Küsnacht,"47.31805, 8.58401",11525
Louvain-la-Neuve,"50.66829, 4.61443",29521
Toshloq,"40.47722, 71.76778",26686
Port Lincoln,"-34.72625, 135.87442",13810
Essendon,"-37.74981, 144.9109",21240
Ramos Arizpe,"25.53928, -100.94742",66554
Martínez de la Torre,"20.07082, -97.06078",60074
Atencingo,"18.51347, -98.60542",10879
Mile 91,"8.46596, -12.21457",15491
Akesalayi,"37.1692, 79.68984",27352
Puerto Rico,"1.90999, -75.15931",33765
Wismar,"53.89314, 11.45286",45255
Tornio,"65.84811, 24.14662",21236
Maromme,"49.47925, 1.02375",12412
Lucena,"13.93139, 121.61722",228758
Dao,"11.3937, 122.6856",10743
Nankana Sahib,"31.4501, 73.70653",56366
Słupsk,"54.46405, 17.02872",98608
Douz,"33.46632, 9.0203",28127
Matiri,"-10.75, 34.9",18830
Uzlovaya,"53.9839, 38.15984",58458
Tashtagol,"52.7657, 87.8894",22779
Zavitinsk,"50.11118, 129.44156",13198
Kayonza,"-1.9509, 30.5205",27059
Asheville,"35.60095, -82.55402",88512
Kettering,"39.6895, -84.16883",55525
Trenton,"39.48089, -84.45772",12281
Ennis,"32.32931, -96.62527",19007
Middletown,"41.54566, -71.29144",17303
Kingsgate,"47.72704, -122.17957",13065
Qiziltepa,"40.03306, 64.85",12200
Chí Linh,"21.06667, 106.31667",220421
Tanagura,"37.03046, 140.38287",13827
Villa Tecolutilla,"18.28338, -93.33398",10637
Mazara del Vallo,"37.65535, 12.58986",51534
